"sector","Dim2","t","n","Val"
"Total_CO2","a","2           ","aut         ",1047.748399094010
"Total_CO2","d","2           ","aut         ",10428.762581204806
"Total_CO2","a","2           ","bel         ",707.479921210300
"Total_CO2","d","2           ","bel         ",10622.498027196130
"Total_CO2","a","2           ","bgr         ",926.607594742445
"Total_CO2","d","2           ","bgr         ",7821.975071626031
"Total_CO2","a","2           ","blt         ",838.374874753633
"Total_CO2","d","2           ","blt         ",8426.056610052560
"Total_CO2","a","2           ","bra         ",895.216118435918
"Total_CO2","d","2           ","bra         ",16477.997457381643
"Total_CO2","a","2           ","can         ",669.041851080127
"Total_CO2","d","2           ","can         ",5965.948685888111
"Total_CO2","a","2           ","chl         ",766.984381249127
"Total_CO2","d","2           ","chl         ",11147.182183457275
"Total_CO2","a","2           ","chn         ",508.322379086192
"Total_CO2","d","2           ","chn         ",7867.673756927986
"Total_CO2","a","2           ","cor         ",966.461885631051
"Total_CO2","d","2           ","cor         ",13219.665173165293
"Total_CO2","a","2           ","cro         ",1135.483964839478
"Total_CO2","d","2           ","cro         ",12380.763514958944
"Total_CO2","a","2           ","dnk         ",778.323102287338
"Total_CO2","d","2           ","dnk         ",9655.983614292676
"Total_CO2","a","2           ","egy         ",705.265412071355
"Total_CO2","d","2           ","egy         ",9076.052824064875
"Total_CO2","a","2           ","esp         ",1092.233664265695
"Total_CO2","d","2           ","esp         ",13014.478835172244
"Total_CO2","a","2           ","fin         ",817.909279048534
"Total_CO2","d","2           ","fin         ",6886.405754247880
"Total_CO2","a","2           ","fra         ",860.363715136016
"Total_CO2","d","2           ","fra         ",10045.312807232232
"Total_CO2","a","2           ","gbr         ",1024.151954384461
"Total_CO2","d","2           ","gbr         ",12464.389884998578
"Total_CO2","a","2           ","golf57      ",687.217449962939
"Total_CO2","d","2           ","golf57      ",10933.523494099722
"Total_CO2","a","2           ","grc         ",734.940967789126
"Total_CO2","d","2           ","grc         ",18981.539234597367
"Total_CO2","a","2           ","hun         ",889.572005784306
"Total_CO2","d","2           ","hun         ",9077.789835850826
"Total_CO2","a","2           ","idn         ",500.797251017119
"Total_CO2","d","2           ","idn         ",5747.456101716083
"Total_CO2","a","2           ","irl         ",782.669901937052
"Total_CO2","d","2           ","irl         ",14036.292620598115
"Total_CO2","a","2           ","ita         ",1298.442231031617
"Total_CO2","d","2           ","ita         ",20745.197699289143
"Total_CO2","a","2           ","jpn         ",708.908294189981
"Total_CO2","d","2           ","jpn         ",10224.532508812390
"Total_CO2","a","2           ","meme        ",825.583296125297
"Total_CO2","d","2           ","meme        ",14080.599409732640
"Total_CO2","a","2           ","mex         ",948.356090094457
"Total_CO2","d","2           ","mex         ",20505.442689660900
"Total_CO2","a","2           ","mys         ",421.431688873387
"Total_CO2","d","2           ","mys         ",4474.849998358385
"Total_CO2","a","2           ","nde         ",722.519324314968
"Total_CO2","d","2           ","nde         ",10211.112089413076
"Total_CO2","a","2           ","nld         ",1001.167187327767
"Total_CO2","d","2           ","nld         ",14399.251950197162
"Total_CO2","a","2           ","noan        ",505.383996033360
"Total_CO2","d","2           ","noan        ",7741.333804334082
"Total_CO2","a","2           ","noap        ",665.253322421773
"Total_CO2","d","2           ","noap        ",10549.209253051626
"Total_CO2","a","2           ","nor         ",840.489246783836
"Total_CO2","d","2           ","nor         ",6301.234036544422
"Total_CO2","a","2           ","oeu         ",594.267279577675
"Total_CO2","d","2           ","oeu         ",11687.626612404570
"Total_CO2","a","2           ","osea        ",523.471157680150
"Total_CO2","d","2           ","osea        ",8054.591212463203
"Total_CO2","a","2           ","pol         ",636.595202871468
"Total_CO2","d","2           ","pol         ",7698.403687343994
"Total_CO2","a","2           ","prt         ",1176.589190611961
"Total_CO2","d","2           ","prt         ",15751.249357976641
"Total_CO2","a","2           ","rcam        ",911.252551735325
"Total_CO2","d","2           ","rcam        ",12410.034765444420
"Total_CO2","a","2           ","rcz         ",369.501821207590
"Total_CO2","d","2           ","rcz         ",8358.541528729977
"Total_CO2","a","2           ","rfa         ",1221.462492034048
"Total_CO2","d","2           ","rfa         ",16549.078812837502
"Total_CO2","a","2           ","ris         ",402.798421556931
"Total_CO2","d","2           ","ris         ",5203.595947155747
"Total_CO2","a","2           ","rjan57      ",660.720863646508
"Total_CO2","d","2           ","rjan57      ",5313.264924851738
"Total_CO2","a","2           ","rom         ",1138.026297861193
"Total_CO2","d","2           ","rom         ",11682.777055481183
"Total_CO2","a","2           ","rsaf        ",430.870080047350
"Total_CO2","d","2           ","rsaf        ",4416.718644916568
"Total_CO2","a","2           ","rsam        ",567.703477067379
"Total_CO2","d","2           ","rsam        ",9513.545048987284
"Total_CO2","a","2           ","rsas        ",455.372570772492
"Total_CO2","d","2           ","rsas        ",5688.872541106248
"Total_CO2","a","2           ","rsl         ",856.132409094915
"Total_CO2","d","2           ","rsl         ",9888.547831913549
"Total_CO2","a","2           ","rus         ",528.011628528042
"Total_CO2","d","2           ","rus         ",6084.168513211316
"Total_CO2","a","2           ","sau         ",542.704542941515
"Total_CO2","d","2           ","sau         ",13358.590199653947
"Total_CO2","a","2           ","slo         ",839.971475357111
"Total_CO2","d","2           ","slo         ",10518.499553962610
"Total_CO2","a","2           ","sui         ",748.801151206645
"Total_CO2","d","2           ","sui         ",8902.845845501344
"Total_CO2","a","2           ","swe         ",855.794676755669
"Total_CO2","d","2           ","swe         ",10026.565602517268
"Total_CO2","a","2           ","tha         ",522.789470299781
"Total_CO2","d","2           ","tha         ",6086.966333780710
"Total_CO2","a","2           ","tur         ",371.988192141558
"Total_CO2","d","2           ","tur         ",6684.391353927182
"Total_CO2","a","2           ","ukr         ",409.364826892170
"Total_CO2","d","2           ","ukr         ",8245.856655444697
"Total_CO2","a","2           ","usa         ",812.700994722633
"Total_CO2","d","2           ","usa         ",9633.488822480256
"Total_CO2","a","2           ","vnm         ",478.510640270698
"Total_CO2","d","2           ","vnm         ",5189.785987193761
"Total_CO2","a","2           ","zaf         ",289.493943227370
"Total_CO2","d","2           ","zaf         ",5387.206992290129
"Total_CO2","a","3           ","arg         ",564.822346844655
"Total_CO2","d","3           ","arg         ",5480.241257914922
"Total_CO2","a","3           ","aus         ",593.489375693988
"Total_CO2","d","3           ","aus         ",10306.618959316635
"Total_CO2","a","3           ","aut         ",1047.748399094010
"Total_CO2","d","3           ","aut         ",10428.762581204806
"Total_CO2","a","3           ","bel         ",707.479921210300
"Total_CO2","d","3           ","bel         ",10622.498027196130
"Total_CO2","a","3           ","bgr         ",926.607594742445
"Total_CO2","d","3           ","bgr         ",7821.975071626031
"Total_CO2","a","3           ","blt         ",838.374874753633
"Total_CO2","d","3           ","blt         ",8426.056610052560
"Total_CO2","a","3           ","bra         ",895.216118435918
"Total_CO2","d","3           ","bra         ",16477.997457381643
"Total_CO2","a","3           ","can         ",669.041851080127
"Total_CO2","d","3           ","can         ",5965.948685888111
"Total_CO2","a","3           ","chl         ",766.984381249127
"Total_CO2","d","3           ","chl         ",11147.182183457275
"Total_CO2","a","3           ","chn         ",508.322379086192
"Total_CO2","d","3           ","chn         ",7867.673756927986
"Total_CO2","a","3           ","cor         ",966.461885631051
"Total_CO2","d","3           ","cor         ",13219.665173165293
"Total_CO2","a","3           ","cro         ",1135.483964839478
"Total_CO2","d","3           ","cro         ",12380.763514958944
"Total_CO2","a","3           ","dnk         ",778.323102287338
"Total_CO2","d","3           ","dnk         ",9655.983614292676
"Total_CO2","a","3           ","egy         ",705.265412071355
"Total_CO2","d","3           ","egy         ",9076.052824064875
"Total_CO2","a","3           ","esp         ",1092.233664265695
"Total_CO2","d","3           ","esp         ",13014.478835172244
"Total_CO2","a","3           ","fin         ",817.909279048534
"Total_CO2","d","3           ","fin         ",6886.405754247880
"Total_CO2","a","3           ","fra         ",860.363715136016
"Total_CO2","d","3           ","fra         ",10045.312807232232
"Total_CO2","a","3           ","gbr         ",1024.151954384461
"Total_CO2","d","3           ","gbr         ",12464.389884998578
"Total_CO2","a","3           ","golf57      ",687.217449962939
"Total_CO2","d","3           ","golf57      ",10933.523494099722
"Total_CO2","a","3           ","grc         ",734.940967789126
"Total_CO2","d","3           ","grc         ",18981.539234597367
"Total_CO2","a","3           ","hun         ",889.572005784306
"Total_CO2","d","3           ","hun         ",9077.789835850826
"Total_CO2","a","3           ","idn         ",500.797251017119
"Total_CO2","d","3           ","idn         ",5747.456101716083
"Total_CO2","a","3           ","irl         ",782.669901937052
"Total_CO2","d","3           ","irl         ",14036.292620598115
"Total_CO2","a","3           ","ita         ",1298.442231031617
"Total_CO2","d","3           ","ita         ",20745.197699289143
"Total_CO2","a","3           ","jpn         ",708.908294189981
"Total_CO2","d","3           ","jpn         ",10224.532508812390
"Total_CO2","a","3           ","meme        ",825.583296125297
"Total_CO2","d","3           ","meme        ",14080.599409732640
"Total_CO2","a","3           ","mex         ",948.356090094457
"Total_CO2","d","3           ","mex         ",20505.442689660900
"Total_CO2","a","3           ","mys         ",421.431688873387
"Total_CO2","d","3           ","mys         ",4474.849998358385
"Total_CO2","a","3           ","nde         ",722.519324314968
"Total_CO2","d","3           ","nde         ",10211.112089413076
"Total_CO2","a","3           ","nld         ",1001.167187327767
"Total_CO2","d","3           ","nld         ",14399.251950197162
"Total_CO2","a","3           ","noan        ",505.383996033360
"Total_CO2","d","3           ","noan        ",7741.333804334082
"Total_CO2","a","3           ","noap        ",665.253322421773
"Total_CO2","d","3           ","noap        ",10549.209253051626
"Total_CO2","a","3           ","nor         ",840.489246783836
"Total_CO2","d","3           ","nor         ",6301.234036544422
"Total_CO2","a","3           ","oeu         ",594.267279577675
"Total_CO2","d","3           ","oeu         ",11687.626612404570
"Total_CO2","a","3           ","osea        ",523.471157680150
"Total_CO2","d","3           ","osea        ",8054.591212463203
"Total_CO2","a","3           ","pol         ",636.595202871468
"Total_CO2","d","3           ","pol         ",7698.403687343994
"Total_CO2","a","3           ","prt         ",1176.589190611961
"Total_CO2","d","3           ","prt         ",15751.249357976641
"Total_CO2","a","3           ","rcam        ",911.252551735325
"Total_CO2","d","3           ","rcam        ",12410.034765444420
"Total_CO2","a","3           ","rcz         ",369.501821207590
"Total_CO2","d","3           ","rcz         ",8358.541528729977
"Total_CO2","a","3           ","rfa         ",1221.462492034048
"Total_CO2","d","3           ","rfa         ",16549.078812837502
"Total_CO2","a","3           ","ris         ",402.798421556931
"Total_CO2","d","3           ","ris         ",5203.595947155747
"Total_CO2","a","3           ","rjan57      ",660.720863646508
"Total_CO2","d","3           ","rjan57      ",5313.264924851738
"Total_CO2","a","3           ","rom         ",1138.026297861193
"Total_CO2","d","3           ","rom         ",11682.777055481183
"Total_CO2","a","3           ","rsaf        ",430.870080047350
"Total_CO2","d","3           ","rsaf        ",4416.718644916568
"Total_CO2","a","3           ","rsam        ",567.703477067379
"Total_CO2","d","3           ","rsam        ",9513.545048987284
"Total_CO2","a","3           ","rsas        ",455.372570772492
"Total_CO2","d","3           ","rsas        ",5688.872541106248
"Total_CO2","a","3           ","rsl         ",856.132409094915
"Total_CO2","d","3           ","rsl         ",9888.547831913549
"Total_CO2","a","3           ","rus         ",528.011628528042
"Total_CO2","d","3           ","rus         ",6084.168513211316
"Total_CO2","a","3           ","sau         ",542.704542941515
"Total_CO2","d","3           ","sau         ",13358.590199653947
"Total_CO2","a","3           ","slo         ",839.971475357111
"Total_CO2","d","3           ","slo         ",10518.499553962610
"Total_CO2","a","3           ","sui         ",748.801151206645
"Total_CO2","d","3           ","sui         ",8902.845845501344
"Total_CO2","a","3           ","swe         ",855.794676755669
"Total_CO2","d","3           ","swe         ",10026.565602517268
"Total_CO2","a","3           ","tha         ",522.789470299781
"Total_CO2","d","3           ","tha         ",6086.966333780710
"Total_CO2","a","3           ","tur         ",371.988192141558
"Total_CO2","d","3           ","tur         ",6684.391353927182
"Total_CO2","a","3           ","ukr         ",409.364826892170
"Total_CO2","d","3           ","ukr         ",8245.856655444697
"Total_CO2","a","3           ","usa         ",812.700994722633
"Total_CO2","d","3           ","usa         ",9633.488822480256
"Total_CO2","a","3           ","vnm         ",478.510640270698
"Total_CO2","d","3           ","vnm         ",5189.785987193761
"Total_CO2","a","3           ","zaf         ",289.493943227370
"Total_CO2","d","3           ","zaf         ",5387.206992290129
